DC analysis for: C:\Users\bryan\Desktop\UBC\third year\2022W1\ELEC 301\UNTITLED.CKT
sweep	@q1[ic]
0.000000e+000	5.933233e-012
2.000000e-002	5.946713e-012
4.000000e-002	5.980193e-012
6.000000e-002	6.057002e-012
8.000000e-002	6.227679e-012
1.000000e-001	6.601717e-012
1.200000e-001	7.416318e-012
1.400000e-001	9.185370e-012
1.600000e-001	1.302217e-011
1.800000e-001	2.133859e-011
2.000000e-001	3.935978e-011
2.200000e-001	7.840564e-011
2.400000e-001	1.629999e-010
2.600000e-001	3.462715e-010
2.800000e-001	7.433201e-010
3.000000e-001	1.603501e-009
3.200000e-001	3.467024e-009
3.400000e-001	7.504211e-009
3.600000e-001	1.625048e-008
3.800000e-001	3.519861e-008
4.000000e-001	7.624824e-008
4.200000e-001	1.651788e-007
4.400000e-001	3.578381e-007
4.600000e-001	7.752106e-007
4.800000e-001	1.679371e-006
5.000000e-001	3.637953e-006
5.200000e-001	7.880068e-006
5.400000e-001	1.706557e-005
5.600000e-001	3.694314e-005
5.800000e-001	7.990315e-005
6.000000e-001	1.724937e-004
6.200000e-001	3.708911e-004
6.400000e-001	7.909418e-004
6.600000e-001	1.659809e-003
6.800000e-001	3.385106e-003
7.000000e-001	6.609354e-003
7.200000e-001	1.221831e-002
7.400000e-001	2.135934e-002
7.600000e-001	3.557633e-002
7.800000e-001	5.707907e-002
8.000000e-001	8.911793e-002
8.200000e-001	1.364858e-001
8.400000e-001	2.062173e-001
8.600000e-001	3.085757e-001
8.800000e-001	4.584346e-001
9.000000e-001	6.771624e-001
9.200000e-001	9.950860e-001
9.400000e-001	1.454487e+000
9.600000e-001	2.022506e+000
9.800000e-001	2.040427e+000
1.000000e+000	2.037662e+000
1.020000e+000	2.038225e+000
1.040000e+000	2.037518e+000
1.060000e+000	2.016944e+000
1.080000e+000	2.019838e+000
1.100000e+000	2.021819e+000
1.120000e+000	2.019950e+000
1.140000e+000	2.017054e+000
1.160000e+000	2.013714e+000
1.180000e+000	2.010079e+000
1.200000e+000	2.006257e+000
1.220000e+000	2.002318e+000
1.240000e+000	1.998301e+000
1.260000e+000	1.994235e+000
1.280000e+000	1.990135e+000
1.300000e+000	1.986014e+000
1.320000e+000	1.981877e+000
1.340000e+000	1.977730e+000
1.360000e+000	1.973576e+000
1.380000e+000	1.969418e+000
1.400000e+000	1.965257e+000
1.420000e+000	1.961093e+000
1.440000e+000	1.956929e+000
1.460000e+000	1.952763e+000
1.480000e+000	1.948596e+000
1.500000e+000	1.944430e+000
1.520000e+000	1.940262e+000
1.540000e+000	1.936095e+000
1.560000e+000	1.931928e+000
1.580000e+000	1.927760e+000
1.600000e+000	1.923592e+000
1.620000e+000	1.919425e+000
1.640000e+000	1.915257e+000
1.660000e+000	1.911089e+000
1.680000e+000	1.906922e+000
1.700000e+000	1.902754e+000
1.720000e+000	1.898586e+000
1.740000e+000	1.894418e+000
1.760000e+000	1.890251e+000
1.780000e+000	1.886083e+000
1.800000e+000	1.881915e+000
1.820000e+000	1.877747e+000
1.840000e+000	1.873579e+000
1.860000e+000	1.869411e+000
1.880000e+000	1.865246e+000
1.900000e+000	1.861077e+000
1.920000e+000	1.856908e+000
1.940000e+000	1.852741e+000
1.960000e+000	1.848580e+000
1.980000e+000	1.844401e+000
2.000000e+000	1.840255e+000
2.020000e+000	1.836071e+000
2.040000e+000	1.831898e+000
2.060000e+000	1.827696e+000
2.080000e+000	1.823565e+000
2.100000e+000	1.819345e+000
2.120000e+000	1.815397e+000
2.140000e+000	1.810822e+000
2.160000e+000	1.806561e+000
2.180000e+000	1.802254e+000
2.200000e+000	1.798920e+000
2.220000e+000	1.795380e+000
2.240000e+000	1.789139e+000
2.260000e+000	1.785797e+000
2.280000e+000	1.785461e+000
2.300000e+000	1.776367e+000
2.320000e+000	1.777466e+000
2.340000e+000	1.767212e+000
2.360000e+000	1.763184e+000
2.380000e+000	1.782471e+000
2.400000e+000	1.792480e+000
2.420000e+000	1.708496e+000
2.440000e+000	1.776367e+000
2.460000e+000	1.897461e+000
2.480000e+000	1.818359e+000
2.500000e+000	1.527344e+000
2.520000e+000	1.738281e+000
2.540000e+000	1.546875e+000
2.560000e+000	2.468750e+000
2.580000e+000	2.000000e+000
2.600000e+000	6.718750e-001
2.620000e+000	8.437500e-001
2.640000e+000	3.875000e+000
2.660000e+000	3.375000e+000
2.680000e+000	1.162500e+001
2.700000e+000	1.500000e+000
2.720000e+000	-7.500000e+000
2.740000e+000	3.350000e+001
2.760000e+000	-1.500000e+001
2.780000e+000	-3.050000e+001
2.800000e+000	7.000000e+000
2.820000e+000	-1.100000e+001
2.840000e+000	-2.220000e+002
2.860000e+000	1.760000e+002
2.880000e+000	1.560000e+002
2.900000e+000	-9.600000e+001
2.920000e+000	1.152000e+003
2.940000e+000	-4.000000e+002
2.960000e+000	-1.600000e+001
2.980000e+000	-2.848000e+003
3.000000e+000	1.024000e+003
